Entity,Code,Year,Diphtheria (Number),Tetanus (Number),Haemophilus influenzae type B meningitis (Number),Hepatitis B (Number),Measles,Meningococcal meningitis (Number),Tuberculosis (deaths),Yellow fever (Number),Whooping cough (Number)
United Kingdom,GBR,2000,0.545344645,3.590140609,46.73595695,138.1400951,1.059268064,201.0544116,551.5950229,0,1.189239832
United Kingdom,GBR,2001,0.521057612,3.178080321,42.48297425,131.966653,0.956032498,182.1918622,528.5024079,0,1.214039603
United Kingdom,GBR,2002,0.501115772,2.942034324,39.09339908,127.9537684,0.885092933,167.0790519,516.9114114,0,1.219058192
United Kingdom,GBR,2003,0.485788823,2.723401256,37.61579389,124.6645613,0.796679077,159.7942819,503.1824896,0,1.247327325
United Kingdom,GBR,2004,0.466462507,2.512352815,34.89502979,120.6459747,0.767175135,148.1472521,479.0062512,0,1.375510147
United Kingdom,GBR,2005,0.452849466,2.251072989,33.06556276,114.3185455,0.749705827,140.3309005,464.9149782,0,1.413889135
United Kingdom,GBR,2006,0.443157091,2.079566345,31.10513051,104.0095568,0.735962441,132.3653023,451.6446691,0,1.41119228
United Kingdom,GBR,2007,0.427425003,1.890373757,30.22757191,99.81345971,0.71359392,128.8175642,432.2315246,0,1.535934257
United Kingdom,GBR,2008,0.413500825,1.691730903,28.81724556,92.20740082,0.696967806,128.971037,424.4238583,0,1.608614542
United Kingdom,GBR,2009,0.395948136,1.567437272,27.44240073,80.7480173,0.718216679,117.0571979,409.3189065,0,1.570220266
United Kingdom,GBR,2010,0.380302078,1.499048383,26.33414516,72.75522517,0.712981843,112.1778863,399.0187483,0,1.567398684
United Kingdom,GBR,2011,0.367076657,1.376407958,25.31492356,58.15823328,0.713440594,107.694106,388.6248053,0,1.744463612
United Kingdom,GBR,2012,0.354425941,1.3173457,23.95784943,50.8937445,0.714712743,101.9930298,387.2756095,0,1.804694199
United Kingdom,GBR,2013,0.345910454,1.240970667,23.49624098,48.23908622,0.694067096,106.4183697,390.1379936,0,1.745853464
United Kingdom,GBR,2014,0.340567456,1.249329753,23.42614843,45.98073214,0.666103811,100.3388669,394.2432126,0,1.8083707
United Kingdom,GBR,2015,0.336451261,1.175511393,23.83896951,45.85594577,0.669659055,108.0946684,395.6426959,0,1.810810463
United Kingdom,GBR,2016,0.332676068,1.159089751,23.91916853,49.36663117,0.654994051,102.367945,392.8902985,0,1.761373217
United States,USA,2000,2.890023081,17.83949208,156.1753048,3805.388157,0.328324613,703.7723286,1322.019818,0,17.34889896
United States,USA,2001,2.917372415,16.73149125,150.5405201,3748.579218,0.430549406,677.6821607,1246.874762,0,19.74022753
United States,USA,2002,2.954774114,15.71077044,146.9447393,3565.147291,0.149102876,634.0769713,1191.36804,0,20.8929044
United States,USA,2003,2.972501031,14.94343373,144.0774005,3197.393555,0.199312526,625.414893,1123.35131,0,20.84113443
United States,USA,2004,2.988028156,13.83959132,138.3865726,2672.478204,0.127025893,444.1106251,1067.392143,0,22.27717498
United States,USA,2005,3.035464703,12.68720627,135.2970502,1971.452387,0.230173578,434.3911973,1028.172767,0,24.05607856
United States,USA,2006,3.056344637,11.98720307,130.5474798,1400.370551,0.186864036,419.1492653,992.4829978,0,23.99489488
United States,USA,2007,3.071220218,11.15239647,126.9376508,1106.540021,0.140051498,406.4703563,954.1750936,0,24.55090251
United States,USA,2008,3.031222602,10.15389521,122.5503184,925.3988509,0.44772703,391.7448161,928.8043092,0,25.48376728
United States,USA,2009,2.985710215,9.717031086,117.6133163,817.8330536,0.218338475,376.7935656,899.7953065,0,24.85736826
United States,USA,2010,2.934128634,9.084658946,112.7938042,745.1495317,0.180001755,361.9447985,889.321461,0,24.45484147
United States,USA,2011,2.933014049,8.917702866,110.412721,704.9564069,0.619651207,354.5003978,881.4406375,0,22.81624751
United States,USA,2012,2.926276459,8.561294033,108.9357462,683.6144556,0.148977548,348.5228686,879.6521747,0,23.4374635
United States,USA,2013,2.93830727,8.43867341,109.9298354,686.2449283,0.512257974,350.64599,895.0727091,0,23.34762771
United States,USA,2014,2.962491205,8.331515536,110.7161582,698.2809008,1.793892085,353.0663804,904.5478436,0,23.06488169
United States,USA,2015,3.005265837,8.504241689,114.1766417,771.5978407,1.730454832,365.145181,930.5573103,0,23.23891873
United States,USA,2016,3.028648015,8.624735676,115.8620878,829.6466508,1.73269715,369.8188077,956.2256823,0,23.29993123
